,Link,address,Bedrooms,Bathrooms,Car spaces,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Land area,Sold_History2,Sold_History3,Floor area
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/8-1-bay-dr-meadowbank-nsw-2114-2388861,"8/1 Bay Dr, Meadowbank",3,2,2,$900k,$1.00M,$650/w,$750/w,Unit 2006 120m2 10526m2 Residential - A 8/SP76502 ,16 Nov 2018 Sold ,10526m2,19 Jan 2018 Sold $1.10M,04 Oct 2017 Listed for Sale Contact Agent,120m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/1106-13-angas-st-meadowbank-nsw-2114-19140581,"1106/13 Angas St, Meadowbank",2,2,1,$750k,$800k,$500/w,$575/w,Unit 2015 80m2 6528m2 Residential - A 13/SP91188 ,14 Nov 2018 Sold $800k,6528m2,01 May 2015 Sold $640k,,80m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/67-21-bay-dr-meadowbank-nsw-2114-20322345,"67/21 Bay Dr, Meadowbank",2,1,1,$550k,$600k,$425/w,$500/w,Unit 2015 1785m2 ,14 Nov 2018 Sold $590k,1785m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/11-9--11-meadow-cres-meadowbank-nsw-2114-12628643,"11/9-11 Meadow Cres, Meadowbank",2,1,-,$500k,$550k,$300/w,$350/w,Unit 1972 238m2 1202m2 Residential - A 11/SP6153 ,25 Nov 2019 Listed for Rent DEPOSIT TAKEN,1202m2,13 Nov 2018 Sold ,,238m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/11-50-meadow-cres-meadowbank-nsw-2114-13547450,"11/50 Meadow Cres, Meadowbank",1,1,1,$400k,$450k,$300/w,$350/w,Unit 1960 151m2 1097m2 Residential - A 11/SP5326 ,13 Nov 2018 Sold $425k,1097m2,06 Nov 2018 Listed for Rent $360 per week,17 Sep 2018 Listed for Sale Contact Agent,151m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/2-15-bank-st-meadowbank-nsw-2114-12318283,"2/15 Bank St, Meadowbank",2,1,1,$550k,$600k,$350/w,$425/w,Unit 1970 64m2 1171m2 Residential - A 2/SP11025 ,08 Nov 2018 Sold $620k,1171m2,01 Nov 2017 Listed for Rent $480,07 Sep 2016 Rented $480,64m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/48-21--27-meadow-cres-meadowbank-nsw-2114-16648857,"48/21-27 Meadow Cres, Meadowbank",2,1,1,$550k,$600k,$350/w,$425/w,Unit 1972 200m2 4643m2 Residential - A 48/SP6451 ,18 Apr 2019 Listed for Rent $400 Per Week,4643m2,02 Nov 2018 Sold ,27 Sep 2016 Rented $440,200m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/274-5-bay-dr-meadowbank-nsw-2114-17556596,"274/5 Bay Dr, Meadowbank",3,2,2,$750k,$800k,$650/w,$750/w,Unit 2002 10526m2 Residential - A ,29 Oct 2018 Sold $945k,10526m2,23 May 2007 Sold $620k,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/6-23-angas-st-meadowbank-nsw-2114-2424911,"6/23 Angas St, Meadowbank",3,2,1,$900k,$1.00M,$650/w,$750/w,Unit 2004 150m2 10526m2 Residential - A 192/SP77059 ,29 Oct 2018 Sold $945k,10526m2,23 May 2007 Sold $620k,,150m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/2-macpherson-st-meadowbank-nsw-2114-14537972,"2 Macpherson St, Meadowbank",3,1,2,$1.50M,$1.60M,$500/w,$575/w,House 1980 657m2 Residential - A 1/327005 ,16 Oct 2018 Sold ,657m2,23 Feb 2016 Rented $510,15 Feb 2016 Listed for Rent $510 / Wk,
