,Link,address,Bedrooms,Bathrooms,Car spaces,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3,Floor area
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/1-andrew-pl-north-rocks-nsw-2151-4454020,"1 Andrew Pl, North Rocks",5,3,4,1141m2,$2.00M,$2.20M,$1100/w,$1250/w,House 1985 482m2 1141m2 Residence Residential - A 10/251899 ,24 Feb 2017 Sold $1.95M,28 Jan 2000 Sold $610k,02 May 1996 Sold $513k,482m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/37-north-rocks-rd-north-rocks-nsw-2151-2470133,"37 North Rocks Rd, North Rocks",3,2,-,710m2,$1.00M,$1.10M,$575/w,$650/w,House 1960 127m2 710m2 Residential - A 6/22931 ,16 Feb 2017 Sold $1.01M,09 Nov 2016 Listed for Sale UNDER CONTRACT,19 Oct 2015 Rented $630,127m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/10-charles-ct-north-rocks-nsw-2151-13184042,"10 Charles Ct, North Rocks",3,1,2,689m2,$1.10M,$1.20M,$500/w,$575/w,House 1979 689m2 Residential - A 53/220134 ,15 Feb 2017 Sold $1.10M,,,
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/29-woodbury-st-north-rocks-nsw-2151-13449942,"29 Woodbury St, North Rocks",4,2,2,695m2,$1.30M,$1.40M,$575/w,$650/w,House 1975 183m2 695m2 Residence Residential - A 115/231410 ,10 Feb 2017 Sold $1.45M,,,183m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/8-57--61-north-rocks-rd-north-rocks-nsw-2151-14976006,"8/57-61 North Rocks Rd, North Rocks",2,2,2,4764m2,$700k,$750k,$500/w,$575/w,House 2010 98m2 4764m2 Residential - A 8/SP84079 ,06 Feb 2017 Sold $840k,17 Oct 2014 Sold $635k,07 Mar 2014 Rented $510,98m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/70-becky-ave-north-rocks-nsw-2151-4458065,"70 Becky Ave, North Rocks",4,1,3,935m2,$1.20M,$1.30M,$650/w,$750/w,House 1980 185m2 935m2 Residence Residential - A 179/236191 ,03 Feb 2017 Sold $1.22M,24 Sep 2016 Sold $1.63M,25 Oct 2002 Sold $555k,185m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/27-jason-pl-north-rocks-nsw-2151-4808772,"27 Jason Pl, North Rocks",3,2,2,695m2,$1.30M,$1.40M,$575/w,$650/w,House 1980 140m2 695m2 Residential - A 21/223889 ,06 Oct 1999 Sold $310k,02 Dec 1994 Sold $100k,25 Mar 1985 Sold $114k,140m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/33-williams-rd-north-rocks-nsw-2151-12474428,"33 Williams Rd, North Rocks",3,1,2,769m2,$1.50M,$1.60M,$500/w,$575/w,House 1980 769m2 Residential - A 72/244687 ,23 Jan 2017 Sold $1.06M,12 Nov 1981 Sold $85k,,
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/22-wentworth-ave-north-rocks-nsw-2151-4872120,"22 Wentworth Ave, North Rocks",5,3,1,923m2,$1.40M,$1.50M,$750/w,$850/w,House 1980 263m2 923m2 Residence Residential - A 37/220134 ,20 Jan 2017 Sold $1.40M,26 Aug 2013 Sold $818k,29 May 2009 Sold $787k,263m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/14-becky-ave-north-rocks-nsw-2151-13720487,"14 Becky Ave, North Rocks",3,2,1,708m2,$1.30M,$1.40M,$575/w,$650/w,House 1986 708m2 Residential - A 237/231722 ,18 Jan 2017 Sold $1.25M,20 Dec 1993 Sold $239k,15 Aug 1986 Sold $142k,
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/10-arley-pl-north-rocks-nsw-2151-13553373,"10 Arley Pl, North Rocks",5,2,2,930m2,$1.40M,$1.50M,$575/w,$650/w,House 1980 162m2 930m2 Residential - A 12/255350 ,21 Mar 1992 Sold $250k,,,162m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/4-panaview-cres-north-rocks-nsw-2151-13340812,"4 Panaview Cres, North Rocks",4,2,2,746m2,$1.20M,$1.30M,$750/w,$850/w,House 1970 152m2 746m2 Residential - A 47/242803 ,16 Jan 2017 Sold $1.35M,24 Jul 1991 Sold $295k,22 Jun 1979 Sold $94k,152m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/234a-north-rocks-rd-north-rocks-nsw-2151-4432212,"234a North Rocks Rd, North Rocks",4,1,2,695m2,$1.00M,$1.10M,$500/w,$575/w,House 1960 114m2 695m2 Residence Residential - A 23/234271 ,11 Jan 2017 Sold $1.01M,"30 Sep 2015 Listed for Sale $1,050,000",07 Aug 2009 Sold $482k,114m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/2-panaview-cres-north-rocks-nsw-2151-13435424,"2 Panaview Cres, North Rocks",4,2,2,701m2,$1.40M,$1.50M,$750/w,$850/w,House 1970 139m2 701m2 Residential - A 45/242803 ,06 Jan 2017 Sold $1.35M,04 May 2015 Sold $950k,"25 Feb 2015 Listed for Sale Offers Above $920,000",139m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/6-mill-dr-north-rocks-nsw-2151-12269961,"6 Mill Dr, North Rocks",3,1,2,823m2,$1.10M,$1.20M,$750/w,$850/w,House 1980 157m2 823m2 Residential - A 117/248615 ,16 Dec 2016 Sold $1.29M,,,157m2
