,Link,address,Bedrooms,Bathrooms,Car spaces,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3,Floor area
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/30-miamba-ave-carlingford-nsw-2118-13740536,"30 Miamba Ave, Carlingford",4,3,2,697m2,$1.60M,$1.80M,$650/w,$750/w,House 1980 697m2 Residential - A 132/259865 ,29 Jun 2020 Sold $1.70M,09 Jun 2020 Listed for Sale Auction,03 Sep 2018 Sold ,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/28-brooklyn-cres-carlingford-nsw-2118-4441554,"28 Brooklyn Cres, Carlingford",3,2,2,242m2,$1.10M,$1.20M,$650/w,$750/w,House 2002 242m2 Residence Residential - A 54/270263 ,28 Jun 2020 Sold $1.00M,13 Jan 2003 Sold $555k,17 May 2002 Sold $485k,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/3-morton-ave-carlingford-nsw-2118-14006250,"3 Morton Ave, Carlingford",4,3,2,1008m2,$1.60M,$1.80M,$425/w,$500/w,House 1995 1008m2 Residential - A 1/DP236185 ,23 Jun 2020 Sold $1.70M,,,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/10-georgian-ave-carlingford-nsw-2118-4381039,"10 Georgian Ave, Carlingford",5,4,2,702m2,$1.30M,$1.40M,$650/w,$750/w,House 1972 702m2 Residence Residential - A 23/239229 ,16 Jun 2020 Sold $1.33M,19 May 2019 Sold ,04 Jul 2003 Sold $540k,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/12-181-pennant-hills-rd-carlingford-nsw-2118-13412681,"12/181 Pennant Hills Rd, Carlingford",3,2,2,273m2,$1.00M,$1.10M,$500/w,$575/w,House 1997 116m2 273m2 Residential - A 13/285473 ,15 Jun 2020 Sold ,31 May 2016 Sold $895k,12 Apr 2014 Sold $895k,116m2
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/25-talinga-st-carlingford-nsw-2118-13063412,"25 Talinga St, Carlingford",5,4,2,586m2,$1.60M,$1.80M,$750/w,$850/w,House 1983 586m2 Residential - A 11/227071 ,13 Jun 2020 Sold $1.85M,14 May 2020 Listed for Sale Auction (if not sold prior),14 Jul 2018 Sold $1.91M,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/39-snowdon-ave-carlingford-nsw-2118-19367462,"39 Snowdon Ave, Carlingford",4,2,2,748m2,$1.30M,$1.40M,$575/w,$650/w,House 1978 748m2 Residential - A 211/DP214655 ,12 Jun 2020 Sold $1.30M,,,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/26-hibiscus-ave-carlingford-nsw-2118-4453393,"26 Hibiscus Ave, Carlingford",4,3,2,697m2,$1.40M,$1.50M,$650/w,$750/w,House 1980 229m2 697m2 Residence Residential - A 111/259865 ,12 Jun 2020 Sold $1.68M,01 Mar 2010 Sold $785k,05 Dec 2002 Sold $638k,229m2
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/9-watton-rd-carlingford-nsw-2118-4808177,"9 Watton Rd, Carlingford",5,3,2,999m2,$1.50M,$1.60M,$500/w,$575/w,House 1975 187m2 999m2 Residence Residential - A 14/238510 ,12 Jun 2020 Sold $850k,23 Apr 2012 Sold $815k,22 Mar 1999 Sold $417k,187m2
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/728a-pennant-hills-rd-carlingford-nsw-2118-4578843,"728a Pennant Hills Rd, Carlingford",4,2,3,696m2,$1.20M,$1.30M,$575/w,$650/w,House 1987 696m2 Residence Residential - A 1/726718 ,09 Jun 2020 Sold $1.09M,18 May 2020 Listed for Sale Price Guide $1.1M,01 Feb 2002 Sold $440k,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/189-marsden-rd-carlingford-nsw-2118-2137776,"189 Marsden Rd, Carlingford",3,1,1,1069m2,$1.80M,$2.00M,$575/w,$650/w,House 1960 104m2 1069m2 Residence Residential - A 74/30610 ,07 Jun 2020 Sold $1.24M,24 Aug 2011 Rented $490,27 Apr 2011 Sold $650k,104m2
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/39-avonlea-dr-carlingford-nsw-2118-13530047,"39 Avonlea Dr, Carlingford",5,3,2,706m2,$1.30M,$1.40M,$425/w,$500/w,House 1979 706m2 Residential - A 8/DP229448 ,04 Jun 2020 Sold ,,,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/32-paterson-st-carlingford-nsw-2118-3766428,"32 Paterson St, Carlingford",3,1,1,739m2,$1.40M,$1.50M,$650/w,$750/w,House 1980 739m2 Residence Residential - A 47/511144 ,01 Jun 2020 Sold $1.43M,15 Oct 2012 Sold $665k,24 Jun 2004 Sold $530k,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/5-timbertop-ave-carlingford-nsw-2118-13343236,"5 Timbertop Ave, Carlingford",6,4,2,936m2,$2.20M,$2.40M,$500/w,$575/w,House 1970 128m2 936m2 Residence Residential - A 33/234876 ,31 May 2020 Sold $2.26M,06 Nov 2019 Listed for Sale Contact Agent,14 Dec 2012 Sold $735k,128m2
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/5-gossell-gr-carlingford-nsw-2118-13239544,"5 Gossell Gr, Carlingford",4,2,2,932m2,$1.12M,$1.68M,$425/w,$500/w,House 1976 932m2 Residential - A 151/DP253099 ,29 May 2020 Sold ,,,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/6-georgian-ave-carlingford-nsw-2118-13320579,"6 Georgian Ave, Carlingford",4,2,2,743m2,$1.30M,$1.40M,$650/w,$750/w,House 1979 743m2 Residential - A 21/DP239229 ,27 May 2020 Sold $1.30M,,,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/6-dandarbong-ave-carlingford-nsw-2118-5639222,"6 Dandarbong Ave, Carlingford",4,2,2,850m2,$1.60M,$1.80M,$950/w,$1100/w,House 1970 200m2 850m2 Residence Residential - A 43/229570 ,27 May 2020 Sold $1.58M,26 Feb 2015 Sold $910k,16 Feb 2010 Sold $627k,200m2
