,Link,address,Bedrooms,Bathrooms,Car spaces,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3,Floor area
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/11-durham-st-north-epping-nsw-2121-4583373,"11 Durham St, North Epping",5,3,3,1726m2,,,$500/w,$575/w,House 1992 1726m2 Residence Residential - A 17/27619 ,22 Jan 2002 Sold $1.03M,23 Jul 1992 Sold $245k,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/22-bedford-rd-north-epping-nsw-2121-4583995,"22 Bedford Rd, North Epping",3,1,1,1062m2,$1.50M,$1.60M,$575/w,$650/w,House 1999 1062m2 Residence Residential - A 15/28412 ,21 Jan 2002 Sold $453k,02 Sep 1999 Sold $350k,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/10-eastcote-rd-north-epping-nsw-2121-4584948,"10 Eastcote Rd, North Epping",5,3,2,790m2,$1.30M,$1.40M,$500/w,$575/w,House 1982 790m2 Residence Residential - A 10/27760 ,18 Jan 2002 Sold $455k,24 Dec 1982 Sold $80k,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/6-grigg-ave-north-epping-nsw-2121-4585342,"6 Grigg Ave, North Epping",3,1,1,740m2,$1.40M,$1.50M,$575/w,$650/w,House 1980 740m2 Residence Residential - A 13/30886 ,17 Jan 2002 Sold $576k,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/21-callistemon-cl-north-epping-nsw-2121-4586376,"21 Callistemon Cl, North Epping",3,1,2,740m2,$1.40M,$1.50M,$500/w,$575/w,House 1990 740m2 Residence Residential - A 17/246722 ,15 Jan 2002 Sold $405k,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/17-bailey-cres-north-epping-nsw-2121-4588397,"17 Bailey Cres, North Epping",4,1,2,727m2,$1.60M,$1.80M,$650/w,$750/w,House 1965 167m2 727m2 Residence Residential - A 14/27440 ,08 Jan 2002 Sold $520k,,,167m2
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/3-woods-st-north-epping-nsw-2121-4464955,"3 Woods St, North Epping",4,1,1,891m2,$1.50M,$1.60M,$650/w,$750/w,House 1965 151m2 891m2 Residence Residential - A 7/31170 ,19 Dec 2001 Sold $490k,,,151m2
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/26a-waterloo-rd-north-epping-nsw-2121-4466754,"26a Waterloo Rd, North Epping",3,3,1,558m2,$1.41M,$2.11M,$575/w,$650/w,House 2001 558m2 Residence Residential - A 3/DP1011908 ,13 Dec 2001 Sold $597k,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/227-malton-rd-north-epping-nsw-2121-4595455,"227 Malton Rd, North Epping",3,2,2,847m2,$1.50M,$1.60M,$575/w,$650/w,House 1960 175m2 847m2 Residence Residential - A 1/19519 ,30 Nov 2001 Sold $531k,,,175m2
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/34-nirimba-ave-north-epping-nsw-2121-4610968,"34 Nirimba Ave, North Epping",4,2,2,746m2,$1.50M,$1.60M,$650/w,$750/w,House 2001 746m2 Residence Residential - A 4/208784 ,23 May 2018 Listed for Rent $650 per week,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/1a-bailey-cres-north-epping-nsw-2121-4557906,"1a Bailey Cres, North Epping",4,2,2,593m2,$1.40M,$1.50M,$750/w,$850/w,House 2003 593m2 Vacant Land Residential - A 2/1038715 ,11 Apr 2002 Sold $325k,20 Nov 2001 Sold $325k,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/21-belinda-cres-north-epping-nsw-2121-4614591,"21 Belinda Cres, North Epping",3,2,1,765m2,$1.40M,$1.50M,$750/w,$850/w,House 2001 765m2 Residence Residential - A 13/211420 ,15 Nov 2001 Sold $545k,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/4-watford-cl-north-epping-nsw-2121-4615841,"4 Watford Cl, North Epping",4,5,2,835m2,$2.00M,$2.20M,$350/w,$425/w,House 2010 326m2 835m2 Residence Residential - A 3/220669 ,09 Nov 2001 Sold $540k,,,326m2
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/14-waterloo-rd-north-epping-nsw-2121-4617452,"14 Waterloo Rd, North Epping",3,1,1,696m2,$1.40M,$1.50M,$650/w,$750/w,House 1950 120m2 696m2 Residence Residential - A 1/27323 ,05 Nov 2001 Sold $438k,21 Dec 1983 Sold $71k,,120m2
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/16-harper-st-north-epping-nsw-2121-4617542,"16 Harper St, North Epping",3,1,1,1310m2,$1.17M,$1.75M,$350/w,$425/w,House 2001 1310m2 Residence Residential - A 16/27776 ,05 Nov 2001 Sold $482k,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/10-holland-st-north-epping-nsw-2121-4065269,"10 Holland St, North Epping",3,1,1,720m2,$1.40M,$1.50M,$650/w,$750/w,House 1971 720m2 Residence Residential - A 8/30226 ,06 Sep 1996 Sold $232k,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/17-roma-st-north-epping-nsw-2121-4636160,"17 Roma St, North Epping",4,2,2,715m2,$1.50M,$1.60M,$500/w,$575/w,House 1970 156m2 715m2 Residence Residential - A 7/31085 ,06 Sep 2001 Sold $505k,,,156m2
